0.00E+00,-7.32E-02,1.07E+00
3.34E-02,-9.09E-02,1.05E+00
6.67E-02,-1.09E-01,1.03E+00
1.00E-01,-1.40E-01,1.07E+00
1.33E-01,-1.60E-01,1.04E+00
1.67E-01,-1.87E-01,1.03E+00
2.00E-01,-2.14E-01,1.06E+00
2.34E-01,-2.21E-01,1.08E+00
2.67E-01,-2.41E-01,1.08E+00
3.00E-01,-2.75E-01,1.06E+00
3.34E-01,-3.15E-01,1.04E+00
3.67E-01,-3.42E-01,1.01E+00
4.00E-01,-3.96E-01,9.82E-01
4.34E-01,-4.30E-01,9.55E-01
4.67E-01,-4.50E-01,9.62E-01
5.01E-01,-5.45E-01,9.89E-01
5.34E-01,-5.72E-01,9.35E-01
5.67E-01,-6.32E-01,9.08E-01
6.01E-01,-7.00E-01,8.81E-01
6.34E-01,-7.67E-01,8.88E-01
6.67E-01,-7.87E-01,7.46E-01
7.01E-01,-9.02E-01,7.59E-01
7.34E-01,-9.36E-01,6.45E-01
7.67E-01,-9.69E-01,5.23E-01
8.01E-01,-1.03E+00,4.29E-01
8.34E-01,-1.03E+00,3.08E-01
8.68E-01,-1.14E+00,1.86E-01
9.01E-01,-1.17E+00,6.50E-02
9.34E-01,-1.19E+00,-3.61E-02
9.68E-01,-1.19E+00,-1.91E-01
1.00E+00,-1.19E+00,-3.80E-01
1.03E+00,-1.15E+00,-5.28E-01
1.07E+00,-1.08E+00,-7.10E-01
1.10E+00,-9.76E-01,-8.79E-01
1.13E+00,-8.55E-01,-1.01E+00
1.17E+00,-6.26E-01,-1.07E+00
1.20E+00,-4.37E-01,-1.17E+00
1.23E+00,-2.48E-01,-1.26E+00
1.27E+00,-1.87E-02,-1.26E+00
1.30E+00,2.04E-01,-1.28E+00
1.33E+00,3.52E-01,-1.23E+00
1.37E+00,5.88E-01,-1.09E+00
1.40E+00,6.76E-01,-9.26E-01
1.43E+00,7.77E-01,-7.58E-01
1.47E+00,8.98E-01,-5.89E-01
1.50E+00,9.39E-01,-4.14E-01
1.53E+00,9.86E-01,-2.18E-01
1.57E+00,9.66E-01,-8.33E-02
1.60E+00,9.52E-01,5.15E-02
1.63E+00,8.98E-01,2.07E-01
1.67E+00,8.44E-01,2.94E-01
1.70E+00,7.97E-01,3.75E-01
1.74E+00,7.90E-01,4.70E-01
1.77E+00,7.23E-01,5.64E-01
1.80E+00,6.69E-01,5.98E-01
1.84E+00,5.88E-01,6.38E-01
1.87E+00,5.14E-01,6.72E-01
1.90E+00,4.60E-01,7.19E-01
1.94E+00,4.19E-01,7.66E-01
1.97E+00,3.59E-01,7.80E-01
2.00E+00,3.12E-01,8.07E-01
2.04E+00,2.51E-01,8.54E-01
2.07E+00,2.37E-01,8.74E-01
2.10E+00,1.90E-01,8.88E-01
2.14E+00,1.63E-01,8.88E-01
2.17E+00,8.91E-02,9.08E-01
2.20E+00,6.22E-02,9.14E-01
2.24E+00,4.87E-02,9.14E-01
2.27E+00,1.50E-02,9.14E-01
2.30E+00,-2.55E-02,9.14E-01
2.34E+00,-3.90E-02,1.02E+00
2.37E+00,-5.92E-02,1.04E+00
2.40E+00,-1.47E-01,1.06E+00
2.44E+00,-1.60E-01,1.04E+00
2.47E+00,-1.81E-01,1.03E+00
2.50E+00,-2.28E-01,1.03E+00
2.54E+00,-2.75E-01,1.03E+00
2.57E+00,-3.36E-01,1.02E+00
2.60E+00,-3.69E-01,9.89E-01
2.64E+00,-4.17E-01,9.62E-01
2.67E+00,-4.77E-01,9.35E-01
2.70E+00,-5.24E-01,9.35E-01
2.74E+00,-5.85E-01,8.88E-01
2.77E+00,-6.53E-01,8.88E-01
2.80E+00,-7.74E-01,8.88E-01
2.84E+00,-8.14E-01,7.93E-01
2.87E+00,-8.14E-01,6.99E-01
2.90E+00,-9.83E-01,6.85E-01
2.94E+00,-1.04E+00,5.44E-01
2.97E+00,-1.04E+00,4.70E-01
3.00E+00,-1.13E+00,3.48E-01
3.04E+00,-1.16E+00,2.00E-01
3.07E+00,-1.16E+00,1.05E-01
3.10E+00,-1.22E+00,-3.61E-02
3.14E+00,-1.21E+00,-1.91E-01
3.17E+00,-1.16E+00,-3.60E-01
3.20E+00,-1.13E+00,-5.15E-01
3.24E+00,-1.07E+00,-6.77E-01
3.27E+00,-9.69E-01,-8.79E-01
3.30E+00,-8.68E-01,-9.94E-01
3.34E+00,-6.46E-01,-1.11E+00
3.37E+00,-4.17E-01,-1.18E+00
3.40E+00,-2.21E-01,-1.26E+00
3.44E+00,3.52E-02,-1.30E+00
3.47E+00,2.17E-01,-1.22E+00
3.50E+00,6.35E-01,-1.18E+00
3.54E+00,6.35E-01,-1.12E+00
3.57E+00,7.63E-01,-9.06E-01
3.60E+00,8.98E-01,-7.78E-01
3.64E+00,9.79E-01,-5.42E-01
3.67E+00,1.03E+00,-4.07E-01
3.70E+00,1.06E+00,-1.98E-01
3.74E+00,1.06E+00,-2.94E-02
3.77E+00,1.05E+00,1.19E-01
3.80E+00,1.05E+00,2.27E-01
3.84E+00,1.01E+00,3.01E-01
3.87E+00,9.39E-01,3.82E-01
3.90E+00,8.58E-01,5.10E-01
3.94E+00,7.90E-01,5.98E-01
3.97E+00,6.96E-01,6.38E-01
4.00E+00,6.02E-01,6.58E-01
4.04E+00,5.88E-01,6.85E-01
4.07E+00,5.21E-01,7.12E-01
4.10E+00,4.13E-01,7.59E-01
4.14E+00,3.59E-01,8.34E-01
4.17E+00,3.39E-01,8.27E-01
4.20E+00,3.12E-01,8.47E-01
4.24E+00,2.44E-01,8.74E-01
4.27E+00,2.04E-01,8.94E-01
4.30E+00,1.03E-01,8.88E-01
4.34E+00,8.91E-02,9.28E-01
4.37E+00,4.19E-02,9.28E-01
4.40E+00,-5.26E-03,9.28E-01
4.44E+00,-4.57E-02,9.28E-01
4.47E+00,-5.25E-02,9.28E-01
4.50E+00,-9.29E-02,9.28E-01
4.54E+00,-1.27E-01,9.21E-01
4.57E+00,-1.74E-01,9.21E-01
4.60E+00,-2.41E-01,9.21E-01
4.64E+00,-2.88E-01,9.21E-01
4.67E+00,-3.63E-01,9.08E-01
4.70E+00,-4.23E-01,8.88E-01
4.74E+00,-4.77E-01,8.67E-01
4.77E+00,-5.18E-01,8.34E-01
4.80E+00,-6.19E-01,8.40E-01
4.84E+00,-6.86E-01,8.13E-01
4.87E+00,-7.54E-01,7.73E-01
4.90E+00,-8.28E-01,6.92E-01
4.94E+00,-9.29E-01,6.52E-01
4.97E+00,-1.02E+00,5.57E-01
5.01E+00,-1.08E+00,4.29E-01
5.04E+00,-1.14E+00,2.94E-01
5.07E+00,-1.21E+00,1.59E-01
5.11E+00,-1.18E+00,3.13E-02
5.14E+00,-1.20E+00,-1.44E-01
5.17E+00,-1.24E+00,-2.86E-01
5.21E+00,-1.20E+00,-4.68E-01
5.24E+00,-1.14E+00,-6.36E-01
5.27E+00,-1.08E+00,-8.05E-01
5.31E+00,-9.36E-01,-9.67E-01
5.34E+00,-7.67E-01,-1.13E+00
5.37E+00,-4.97E-01,-1.25E+00
5.41E+00,-3.02E-01,-1.31E+00
5.44E+00,-8.62E-02,-1.28E+00
5.47E+00,1.09E-01,-1.20E+00
5.51E+00,3.18E-01,-1.20E+00
